line,type,full_match,label,id,title,URL,code,text_original,text_translated
2041,SUBLVLI,5.	,Lid,5.,(buitenoppervlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.7_Artikel4.44_Lid5,C4_S4_2_P4_2_7_A4_44_SUB5,"In afwijking van het eerste tot en met derde lid voldoet een deur, een raam, een kozijn en een daaraan gelijk te stellen constructieonderdeel aan brandklasse D, bepaald volgens NEN-EN 13501-1.","Contrary from the first to third sub-article, a door, a window, a frame and a structural component to be equated with fire class D, determined according to NEN-EN 13501-1."
2043,SUBLVLI,1.	,Lid,1.,(beloopbaar vlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.7_Artikel4.45_Lid1,C4_S4_2_P4_2_7_A4_45_SUB1,"In afwijking van artikel 4.43 geldt voor de bovenzijde van een vloer, een trap en een hellingbaan die grenst aan de binnenlucht rookklasse s1fl en de in tabel 4.42 aangegeven brandklasse, beide bepaald volgens NEN-EN 13501-1.","In deviation from article 4.43, the top of a floor, a staircase and a ramp that borders on the indoor air smoke class S1fl and the fire class indicated in Table 4.42, both determined according to NEN-EN 13501-1."
2044,SUBLVLI,2.	,Lid,2.,(beloopbaar vlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.7_Artikel4.45_Lid2,C4_S4_2_P4_2_7_A4_45_SUB2,"In afwijking van de artikel 4.44 geldt voor een bovenzijde van een vloer, een trap en een hellingbaan die grenst aan de buitenlucht de in tabel 4.42 aangegeven brandklasse, bepaald volgens NEN-EN 13501-1.","Contrary to the article 4.44, a top of a floor, a staircase and a ramp that borders on the outside air applies the fire class specified in Table 4.42, determined according to NEN-EN 13501-1."
2046,SUBLVLI,1.	,Lid,1.,(elektrische leidingen en pijpisolatie),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.7_Artikel4.45a_Lid1,C4_S4_2_P4_2_7_A4_45a_SUB1,"In afwijking van artikel 4.43 geldt voor een elektrische leiding die grenst aan de binnenlucht:
	a.	in extra beschermde vluchtroutes rookklasse s1(ca) en in overige ruimten rookklasse s2(ca), beide bepaald volgens NEN-EN 13501-6; en
	b.	de in tabel 4.42 aangegeven brandklasse, bepaald volgens NEN-EN 13501-6.","Contrary to article 4.43 applies to an electric pipe that borders the indoor air:
	a. In additional protected escape routes smoking class S1 (CA) and in other spaces smoking class S2 (CA), both determined according to NEN-EN 13501-6; and
	b. The fire class specified in Table 4.42, determined according to NEN-EN 13501-6."
2049,SUBLVLI,2.	,Lid,2.,(elektrische leidingen en pijpisolatie),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.7_Artikel4.45a_Lid2,C4_S4_2_P4_2_7_A4_45a_SUB2,"In afwijking van artikel 4.43 geldt voor pijpisolatie die grenst aan de binnenlucht:
	a.	in extra beschermde vluchtroutes rookklasse s1(L) en in overige ruimten rookklasse s2(L), beide bepaald volgens NEN-EN 13501-1; en
	b.	de in tabel 4.42 aangegeven brandklasse, bepaald volgens NEN-EN 13501-1.","Contrary to article 4.43, the indoor air applies to pipe insulation:
	a. In extra protected escape routes smoking class S1 (L) and in other spaces smoking class S2 (L), both determined according to NEN-EN 13501-1; and
	b. The fire class specified in Table 4.42, determined according to NEN-EN 13501-1."
2052,SUBLVLI,3.	,Lid,3.,(elektrische leidingen en pijpisolatie),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.7_Artikel4.45a_Lid3,C4_S4_2_P4_2_7_A4_45a_SUB3,"In afwijking van artikel 4.44 geldt voor een elektrische leiding die grenst aan de buitenlucht de in tabel 4.42 aangegeven brandklasse, bepaald volgens NEN-EN 13501-6.","Contrary to article 4.44, an electric pipe that borders the outside air applies the fire class specified in Table 4.42, determined according to NEN-EN 13501-6."
2053,SUBLVLI,4.	,Lid,4.,(elektrische leidingen en pijpisolatie),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.7_Artikel4.45a_Lid4,C4_S4_2_P4_2_7_A4_45a_SUB4,"In afwijking van artikel 4.44 geldt voor pijpisolatie die grenst aan de buitenlucht de in tabel 4.42 aangegeven brandklasse, bepaald volgens NEN-EN 13501-1.","Contrary to article 4.44, the fire class specified in Table 4.42 applies to pipe insulation, determined according to NEN-EN 13501-1."
2055,SUBLVLI,1.	,Lid,1.,(vrijgestelde oppervlakte),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.7_Artikel4.46_Lid1,C4_S4_2_P4_2_7_A4_46_SUB1,"Op ten hoogste 5% van de totale oppervlakte van de constructieonderdelen van elke afzonderlijke ruimte waarvoor volgens de artikelen 4.43 tot en met 4.45a een eis geldt, is die eis niet van toepassing.","That requirement applies to a maximum of 5% of the total surface area of the construction components of each individual room for which, according to the article 4.43 to 4.45a, that requirement does not apply."
2056,SUBLVLI,2.	,Lid,2.,(vrijgestelde oppervlakte),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.7_Artikel4.46_Lid2,C4_S4_2_P4_2_7_A4_46_SUB2,"Op ten hoogste 10% van de totale oppervlakte van de constructieonderdelen van elke afzonderlijke ruimte waardoor geen beschermde vluchtroute voert, zijn de in de artikelen 4.43 en 4.45a, eerste en tweede lid, bedoelde eisen aan de rookklasse niet van toepassing.","At most 10% of the total area of the construction components of each individual space, which does not carry a protected escape route, the requirements for the smoke class referred to in the article 4.43 and 4.45a, first and second sub-article, do not apply."
2057,SUBLVLI,3.	,Lid,3.,(vrijgestelde oppervlakte),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.7_Artikel4.46_Lid3,C4_S4_2_P4_2_7_A4_46_SUB3,"Op ten hoogste 5% van de totale oppervlakte van de constructieonderdelen waarvoor volgens de artikelen 4.43 tot en met 4.45a een eis geldt, is die eis niet van toepassing.",That requirement does not apply to a maximum of 5% of the total area of the construction components for which a requirement applies according to the article 4.43 to 4.45a.
2059,SUBLVLI,1.	,Lid,1.,(dakoppervlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.7_Artikel4.47_Lid1,C4_S4_2_P4_2_7_A4_47_SUB1,"De bovenzijde van een dak van een bouwwerk is, bepaald volgens NEN 6063, niet brandgevaarlijk. Dit geldt niet als het bouwwerk geen voor personen bestemde vloer heeft die hoger ligt dan 5 m boven het meetniveau, en de brandgevaarlijke delen van het dak ten minste 15 m vanaf de bouwwerkperceelsgrens liggen. Als het perceel waarop het bouwwerk ligt, grenst aan een openbare weg, openbaar water, openbaar groen of een perceel dat niet is bestemd voor bebouwing of voor een speeltuin, een kampeerterrein of opslag van brandgevaarlijke stoffen of van brandbare niet-milieugevaarlijke stoffen wordt die afstand aangehouden tot het hart van die weg, dat water, dat groen of dat perceel.","The top of a roof of a structure, determined according to NEN 6063, is not fire hazard. This does not apply if the structure has no floor designated for persons that is higher than 5 m above the measurement level, and the fire-hazardous parts of the roof are at least 15 m from the building plot border. If the plot on which the structure is located, borders on a public road, public water, public greenery or a plot that is not intended for buildings or for a playground, a camping site or storage of fire-hazardous substances or of flammable non-environmentally hazardous substances, that distance is held to the heart of that road, that water, that green or that parcel."
2060,SUBLVLI,2.	,Lid,2.,(dakoppervlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.7_Artikel4.47_Lid2,C4_S4_2_P4_2_7_A4_47_SUB2,Het eerste lid geldt niet voor een bouwwerk met een gebruiksoppervlakte van ten hoogste 50 m2.,The first sub-article does not apply to a structure with a use area of at most 50 m2.
2106,SUBLVLI,1.	,Lid,1.,(brandcompartiment: ligging),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.50_Lid1,C4_S4_2_P4_2_8_A4_50_SUB1,Een besloten ruimte ligt in een brandcompartiment.,A closed space is in a fire compartment.
2107,SUBLVLI,2.	,Lid,2.,(brandcompartiment: ligging),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.50_Lid2,C4_S4_2_P4_2_8_A4_50_SUB2,"Het eerste lid is niet van toepassing op:
	a.	een toiletruimte;
	b.	een badruimte;
	c.	een liftschacht, als de constructieonderdelen aan de binnenzijde van de schacht voldoen aan brandklasse B en aan rookklasse s2, beide bepaald volgens NEN-EN 13501-1; en
	d.	een technische ruimte met een gebruiksoppervlakte van niet meer dan 50 m2 niet bestemd voor een of meer verbrandingstoestellen met een totale nominale belasting van meer dan 130 kW.","The first sub-article does not apply to:
	a. A toilet room;
	b. A bathroom;
	c. A lift shaft, if the construction parts on the inside of the shaft meet fire class B and smoking class S2, both determined according to NEN-EN 13501-1; and
	d. A technical room with a use area of no more than 50 m2 not intended for one or more combustion devices with a total nominal load of more than 130 kW."
2112,SUBLVLI,3.	,Lid,3.,(brandcompartiment: ligging),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.50_Lid3,C4_S4_2_P4_2_8_A4_50_SUB3,Een wegtunnelbuis met een lengte van meer dan 250 m ligt in een brandcompartiment.,A road tunnel tube with a length of more than 250 m is in a fire compartment.
2113,SUBLVLI,4.	,Lid,4.,(brandcompartiment: ligging),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.50_Lid4,C4_S4_2_P4_2_8_A4_50_SUB4,In afwijking van het eerste lid voert een extra beschermde vluchtroute niet door een brandcompartiment.,"Contrary to the first sub-article, an extra protected escape route does not lead through a fire compartment."
2114,SUBLVLI,5.	,Lid,5.,(brandcompartiment: ligging),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.50_Lid5,C4_S4_2_P4_2_8_A4_50_SUB5,Een niet-besloten gebruiksgebied ligt in een brandcompartiment.,A non-open use area is in a fire compartment.
2115,SUBLVLI,6.	,Lid,6.,(brandcompartiment: ligging),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.50_Lid6,C4_S4_2_P4_2_8_A4_50_SUB6,"Het eerste en vijfde lid zijn niet van toepassing op een gebruiksfunctie of gebruiksfuncties van dezelfde soort, met een totale gebruiksoppervlakte van niet meer dan 1.000 m2 en een vuurbelasting niet groter dan 500 MJ/m2, bepaald volgens NEN 6090.","The first and fifth sub-article do not apply to a usage function or usage functions of the same species, with a total use area of no more than 1,000 m2 and a fire load no larger than 500 MJ/M2, determined according to NEN 6090."
2116,SUBLVLI,7.	,Lid,7.,(brandcompartiment: ligging),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.50_Lid7,C4_S4_2_P4_2_8_A4_50_SUB7,Het eerste en vijfde lid zijn niet van toepassing op een bouwwerk met een gebruiksoppervlakte van niet meer dan 50 m2. Deze uitzondering geldt niet als het bouwwerk aan een of meer andere bouwwerken grenst en de gezamenlijke gebruiksoppervlakte groter is dan 50 m2.,The first and fifth sub-article do not apply to a structure with a use area of no more than 50 m2. This exception does not apply if the structure borders one or more other structures and the joint area of use is greater than 50 m2.
2117,SUBLVLI,8.	,Lid,8.,(brandcompartiment: ligging),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.50_Lid8,C4_S4_2_P4_2_8_A4_50_SUB8,"Het eerste en vijfde lid zijn niet van toepassing op een lichte industriefunctie voor het telen, kweken of opslaan van gewassen of daarmee vergelijkbare producten, met een permanente vuurbelasting niet groter dan 150 MJ/m2, bepaald volgens NEN 6090.","The first and fifth sub-article do not apply to a light industrial function for growing, growing or storing crops or comparable products, with a permanent fire load no larger than 150 MJ/M2, determined according to NEN 6090."
2119,SUBLVLI,1.	,Lid,1.,(brandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.51_Lid1,C4_S4_2_P4_2_8_A4_51_SUB1,"Een brandcompartiment heeft een gebruiksoppervlakte die niet groter is dan de in tabel 4.49 aangegeven oppervlakte, of een grotere gebruiksoppervlakte als dat niet tot een lager veiligheidsniveau leidt, bepaald volgens NEN 6060 of NEN 6079.","A fire compartment has a use area that is no larger than the surface area indicated in Table 4.49, or a larger area of use if that does not lead to a lower safety level, determined according to NEN 6060 or NEN 6079."
2120,SUBLVLI,2.	,Lid,2.,(brandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.51_Lid2,C4_S4_2_P4_2_8_A4_51_SUB2,In een brandcompartiment liggen ten hoogste vier woonwagens en nevengebruiksfuncties daarvan met een totale gebruiksoppervlakte van ten hoogste 1.000 m2.,"In a fire compartment there are a maximum of four caravans and additional user functions with a total use area of at most 1,000 m2."
2121,SUBLVLI,3.	,Lid,3.,(brandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.51_Lid3,C4_S4_2_P4_2_8_A4_51_SUB3,Een brandcompartiment strekt zich uit over niet meer dan een bouwwerkperceel.,A fire compartment extends over no more than a building plot.
2122,SUBLVLI,4.	,Lid,4.,(brandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.51_Lid4,C4_S4_2_P4_2_8_A4_51_SUB4,Een brandcompartiment strekt zich uit over niet meer dan een wegtunnelbuis.,A fire compartment extends over no more than a road tunnel tube.
2123,SUBLVLI,5.	,Lid,5.,(brandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.51_Lid5,C4_S4_2_P4_2_8_A4_51_SUB5,In een brandcompartiment liggen ten hoogste een woonfunctie en nevengebruiksfuncties daarvan.,In a fire compartment there are at most a residential function and additional user functions thereof.
2124,SUBLVLI,6.	,Lid,6.,(brandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.51_Lid6,C4_S4_2_P4_2_8_A4_51_SUB6,In afwijking van het vijfde lid is een gemeenschappelijk verblijfsgebied toegestaan als dat verblijfsgebied een afzonderlijk brandcompartiment is.,"Contrary to the fifth sub-article, a common residential area is permitted if that residential area is a separate fire compartment."
2125,SUBLVLI,7.	,Lid,7.,(brandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.51_Lid7,C4_S4_2_P4_2_8_A4_51_SUB7,Een technische ruimte met een gebruiksoppervlakte van meer dan 50 m2 is een afzonderlijk brandcompartiment.,A technical room with a use area of more than 50 m2 is a separate fire compartment.
2126,SUBLVLI,8.	,Lid,8.,(brandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.51_Lid8,C4_S4_2_P4_2_8_A4_51_SUB8,Bij een brandcompartiment van een industriefunctie met een gebruiksoppervlakte van meer dan 1.000 m2 is het eerste lid niet van toepassing op een of meer in dat brandcompartiment gelegen nevengebruiksfuncties met een totale gebruiksoppervlakte van ten hoogste 100 m2.,"With a fire compartment of an industrial function with a use area of more than 1,000 m2, the first sub-article does not apply to one or more in that fire compartment located ancillary use functions with a total use area of up to 100 m2."
2127,SUBLVLI,9.	,Lid,9.,(brandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.51_Lid9,C4_S4_2_P4_2_8_A4_51_SUB9,Een technische ruimte is een afzonderlijk brandcompartiment.,A technical room is a separate fire compartment.
2132,SUBLVLI,1.	,Lid,1.,(weerstand tegen branddoorslag en brandoverslag: niveau van eisen),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.53_Lid1,C4_S4_2_P4_2_8_A4_53_SUB1,"De weerstand tegen branddoorslag en brandoverslag van een brandcompartiment naar een ander brandcompartiment, naar een besloten ruimte waardoor een extra beschermde vluchtroute voert, naar een niet-besloten veiligheidsvluchtroute en naar een liftschacht van een brandweerlift of van een lift als bedoeld in artikel 4.189 in een woongebouw is ten minste 60 minuten.","The resistance to fire penetration and fire spread from a fire compartment to another fire compartment, to a closed space that leads an extra protected escape route, to a non-open safety flight route and to a lift shaft from a fire brigade lift or a lift as referred to in article 4.189 in a residential building is at least 60 minutes."
2133,SUBLVLI,2.	,Lid,2.,(weerstand tegen branddoorslag en brandoverslag: niveau van eisen),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.53_Lid2,C4_S4_2_P4_2_8_A4_53_SUB2,In afwijking van het eerste lid kan tussen een brandcompartiment en een besloten ruimte waardoor een extra beschermde vluchtroute voert worden volstaan met 30 minuten.,"Contrary to the first sub-article, between a fire compartment and a closed space, an additional protected escape route is sufficient to be done by 30 minutes."
2134,SUBLVLI,3.	,Lid,3.,(weerstand tegen branddoorslag en brandoverslag: niveau van eisen),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.53_Lid3,C4_S4_2_P4_2_8_A4_53_SUB3,"In afwijking van het eerste lid kan worden volstaan met 30 minuten als:
	a.	de volgens NEN 6090 bepaalde permanente vuurbelasting van het brandcompartiment niet groter is dan 500 MJ/m2; en
	b.	in het gebouw geen vloer van een verblijfsgebied hoger ligt dan 7 m boven het meetniveau.","Contrary to the first sub-article, it is sufficient to be done by 30 minutes if:
	a. The permanent firing load of the fire compartment according to NEN 6090 does not exceed 500 MJ/M2; and
	b. In the building no floor of a residential area is higher than 7 m above the measurement level."
2137,SUBLVLI,4.	,Lid,4.,(weerstand tegen branddoorslag en brandoverslag: niveau van eisen),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.53_Lid4,C4_S4_2_P4_2_8_A4_53_SUB4,"In afwijking van het eerste lid kan worden volstaan met 30 minuten als:
	a.	de in het eerste lid bedoelde ruimten op hetzelfde bouwwerkperceel liggen; en
	b.	in het gebouw geen vloer van een gebruiksgebied hoger ligt dan 5 m boven het meetniveau.","Contrary to the first sub-article, it is sufficient to be done by 30 minutes if:
	a. The spaces referred to in the first sub-article are on the same building plot; and
	b. In the building, no floor of a user area is higher than 5 m above the measurement level."
2140,SUBLVLI,5.	,Lid,5.,(weerstand tegen branddoorslag en brandoverslag: niveau van eisen),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.53_Lid5,C4_S4_2_P4_2_8_A4_53_SUB5,Het vierde lid is niet van toepassing op een brandcompartiment met een gebruiksoppervlakte van meer dan 1.000 m2.,"The fourth sub-article does not apply to a fire compartment with a use area of more than 1,000 m2."
2141,SUBLVLI,6.	,Lid,6.,(weerstand tegen branddoorslag en brandoverslag: niveau van eisen),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.53_Lid6,C4_S4_2_P4_2_8_A4_53_SUB6,Het vierde lid is niet van toepassing op een technische ruimte.,The fourth sub-article does not apply to a technical room.
2142,SUBLVLI,7.	,Lid,7.,(weerstand tegen branddoorslag en brandoverslag: niveau van eisen),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.53_Lid7,C4_S4_2_P4_2_8_A4_53_SUB7,Het tweede tot en met vierde lid gelden niet voor een ruimte waardoor een veiligheidsvluchtroute voert.,"The second to fourth sub-article do not apply to a space, which means a safety flight route."
2143,SUBLVLI,8.	,Lid,8.,(weerstand tegen branddoorslag en brandoverslag: niveau van eisen),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.53_Lid8,C4_S4_2_P4_2_8_A4_53_SUB8,De weerstand tegen branddoorslag en brandoverslag van een woonwagen naar een andere woonwagen is ten minste 30 minuten.,The resistance to fire penetration and fire spread from a caravan to another caravan is at least 30 minutes.
