line,type,full_match,label,id,title,URL,code,text_original,text_translated,preprocessing_success,clarity,syntactic_complexity,validation_complexity,referral_complexity
2121,SUBLVLI,3.	,Lid,3.0,(brandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.51_Lid3,C4_S4_2_P4_2_8_A4_51_SUB3,Een brandcompartiment strekt zich uit over niet meer dan een bouwwerkperceel.,A fire compartment extends over no more than a building plot.,True,1,1,V4,1
2122,SUBLVLI,4.	,Lid,4.0,(brandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.51_Lid4,C4_S4_2_P4_2_8_A4_51_SUB4,Een brandcompartiment strekt zich uit over niet meer dan een wegtunnelbuis.,A fire compartment extends over no more than a road tunnel tube.,True,1,1,V4,1
2123,SUBLVLI,5.	,Lid,5.0,(brandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.51_Lid5,C4_S4_2_P4_2_8_A4_51_SUB5,In een brandcompartiment liggen ten hoogste een woonfunctie en nevengebruiksfuncties daarvan.,In a fire compartment there are at most a residential function and additional user functions thereof.,True,4,1,V3V4,1
2124,SUBLVLI,6.	,Lid,6.0,(brandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.51_Lid6,C4_S4_2_P4_2_8_A4_51_SUB6,In afwijking van het vijfde lid is een gemeenschappelijk verblijfsgebied toegestaan als dat verblijfsgebied een afzonderlijk brandcompartiment is.,"Contrary to the fifth sub-article, a common residential area is permitted if that residential area is a separate fire compartment.",True,2,2,V4,2
2125,SUBLVLI,7.	,Lid,7.0,(brandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.51_Lid7,C4_S4_2_P4_2_8_A4_51_SUB7,Een technische ruimte met een gebruiksoppervlakte van meer dan 50 m2 is een afzonderlijk brandcompartiment.,A technical room with a use area of more than 50 m2 is a separate fire compartment.,True,1,1,V3V4,1
2126,SUBLVLI,8.	,Lid,8.0,(brandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.51_Lid8,C4_S4_2_P4_2_8_A4_51_SUB8,Bij een brandcompartiment van een industriefunctie met een gebruiksoppervlakte van meer dan 1.000 m2 is het eerste lid niet van toepassing op een of meer in dat brandcompartiment gelegen nevengebruiksfuncties met een totale gebruiksoppervlakte van ten hoogste 100 m2.,"With a fire compartment of an industrial function with a use area of more than 1.000 m2, the first sub-article does not apply to one or more in that fire compartment located ancillary use functions with a total use area of up to 100 m2.",True,4,4,V3V4,2
2127,SUBLVLI,9.	,Lid,9.0,(brandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.51_Lid9,C4_S4_2_P4_2_8_A4_51_SUB9,Een technische ruimte is een afzonderlijk brandcompartiment.,A technical room is a separate fire compartment.,True,1,1,V3V4,1
2132,SUBLVLI,1.	,Lid,1.0,(weerstand tegen branddoorslag en brandoverslag: niveau van eisen),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.53_Lid1,C4_S4_2_P4_2_8_A4_53_SUB1,"De weerstand tegen branddoorslag en brandoverslag van een brandcompartiment naar een ander brandcompartiment, naar een besloten ruimte waardoor een extra beschermde vluchtroute voert, naar een niet-besloten veiligheidsvluchtroute en naar een liftschacht van een brandweerlift of van een lift als bedoeld in artikel 4.189 in een woongebouw is ten minste 60 minuten.","The resistance to fire penetration and fire spread from a fire compartment to another fire compartment, to a closed space that leads an extra protected escape route, to a non-open safety flight route and to a lift shaft from a fire brigade lift or from a lift as referred to in article 4.189 in a residential building is at least 60 minutes.",True,3,5,V3V4,3
2140,SUBLVLI,5.	,Lid,5.0,(weerstand tegen branddoorslag en brandoverslag: niveau van eisen),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.53_Lid5,C4_S4_2_P4_2_8_A4_53_SUB5,Het vierde lid is niet van toepassing op een brandcompartiment met een gebruiksoppervlakte van meer dan 1.000 m2.,The fourth sub-article does not apply to a fire compartment with a use area of more than 1.000 m2.,True,1,1,V3,2
2141,SUBLVLI,6.	,Lid,6.0,(weerstand tegen branddoorslag en brandoverslag: niveau van eisen),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.53_Lid6,C4_S4_2_P4_2_8_A4_53_SUB6,Het vierde lid is niet van toepassing op een technische ruimte.,The fourth sub-article does not apply to a technical room.,True,1,1,V3,2
2143,SUBLVLI,8.	,Lid,8.0,(weerstand tegen branddoorslag en brandoverslag: niveau van eisen),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.53_Lid8,C4_S4_2_P4_2_8_A4_53_SUB8,De weerstand tegen branddoorslag en brandoverslag van een woonwagen naar een andere woonwagen is ten minste 30 minuten.,The resistance to fire penetration and fire spread from a caravan to another caravan is at least 30 minutes.,True,3,1,V3V4,1
2147,SUBLVLI,1.	,Lid,1.0,(weerstand tegen branddoorslag en brandoverslag: bepalingsmethode),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.54_Lid1,C4_S4_2_P4_2_8_A4_54_SUB1,De in artikel 4.53 bedoelde weerstand tegen branddoorslag en brandoverslag wordt bepaald volgens NEN 6068.,The resistance referred to in article 4.53 against fire penetration and fire spread is determined in accordance with NEN 6068.,True,2,4,V2,5
2199,SUBLVLI,2.	,Lid,2.0,(subbrandcompartiment: ligging),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.9_Artikel4.57_Lid2,C4_S4_2_P4_2_9_A4_57_SUB2,Een beschermde vluchtroute ligt niet in een subbrandcompartiment.,A protected escape route is not in a sub-fire compartment.,True,1,1,V4,1
2204,SUBLVLI,1.	,Lid,1.0,(beschermd subbrandcompartiment: ligging),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.9_Artikel4.58_Lid1,C4_S4_2_P4_2_9_A4_58_SUB1,Een verblijfsgebied ligt in een beschermd subbrandcompartiment.,A residential area is in a protected sub-fire compartment.,True,1,1,V4,1
2205,SUBLVLI,2.	,Lid,2.0,(beschermd subbrandcompartiment: ligging),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.9_Artikel4.58_Lid2,C4_S4_2_P4_2_9_A4_58_SUB2,Een bedgebied ligt in een beschermd subbrandcompartiment.,A bed area is located in a protected sub-fire compartment.,True,1,1,V4,1
2206,SUBLVLI,3.	,Lid,3.0,(beschermd subbrandcompartiment: ligging),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.9_Artikel4.58_Lid3,C4_S4_2_P4_2_9_A4_58_SUB3,Een celeenheid ligt in een beschermd subbrandcompartiment.,A cell unit lies in a protected sub-fire compartment.,True,1,1,V4,1
2209,SUBLVLI,1.	,Lid,1.0,(beschermd subbrandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.9_Artikel4.59_Lid1,C4_S4_2_P4_2_9_A4_59_SUB1,Een beschermd subbrandcompartiment heeft een gebruiksoppervlakte van ten hoogste de in tabel 4.56 aangegeven oppervlakte.,A protected sub-fire compartment has a use area of at most the surface area indicated in Table 4.56.,True,2,1,V3,4
2210,SUBLVLI,2.	,Lid,2.0,(beschermd subbrandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.9_Artikel4.59_Lid2,C4_S4_2_P4_2_9_A4_59_SUB2,In afwijking van het eerste lid is een gezamenlijke verblijfsruimte een afzonderlijk beschermd subbrandcompartiment met een gebruiksoppervlakte van ten hoogste 500 m2.,"By way of derogation from the first Sub-Article, a joint living space is a separately protected sub-fire compartment with a use area of at most 500 m2.",True,1,2,V3V4,2
2211,SUBLVLI,3.	,Lid,3.0,(beschermd subbrandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.9_Artikel4.59_Lid3,C4_S4_2_P4_2_9_A4_59_SUB3,Een beschermd subbrandcompartiment met een bijeenkomstfunctie voor kinderopvang met bedgebied omvat niet meer dan die gebruiksfunctie en nevengebruiksfuncties daarvan.,A protected sub-fire compartment with a meeting function for childcare with bed area does not include more than that use function and additional user functions thereof.,True,4,2,V3V4,1
2212,SUBLVLI,4.	,Lid,4.0,(beschermd subbrandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.9_Artikel4.59_Lid4,C4_S4_2_P4_2_9_A4_59_SUB4,Een celeenheid is een afzonderlijk beschermd subbrandcompartiment.,A cell unit is a separately protected sub-fire compartment.,True,1,1,V3V4,1
2216,SUBLVLI,8.	,Lid,8.0,(beschermd subbrandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.9_Artikel4.59_Lid8,C4_S4_2_P4_2_9_A4_59_SUB8,Een afzonderlijk beschermd subbrandcompartiment is een afzonderlijk subbrandcompartiment.,A separately protected sub-fire compartment is a separate sub-fire compartment.,True,1,1,V4,1
2218,SUBLVLI,1.	,Lid,1.0,(weerstand tegen branddoorslag en brandoverslag),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.9_Artikel4.60_Lid1,C4_S4_2_P4_2_9_A4_60_SUB1,De volgens NEN 6068 bepaalde weerstand tegen branddoorslag en brandoverslag van een beschermd subbrandcompartiment naar een andere ruimte in het brandcompartiment is ten minste 30 minuten.,"According to NEN 6068, resistance to fire penetration and fire spread from a protected sub-fire compartment to another room in the fire compartment is at least 30 minutes.",True,1,2,V3V4,5
2221,SUBLVLI,1.	,Lid,1.0,(subbrandcompartiment: weerstand tegen rookdoorgang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.9_Artikel4.61_Lid1,C4_S4_2_P4_2_9_A4_61_SUB1,De weerstand tegen rookdoorgang van een subbrandcompartiment naar een ander subbrandcompartiment is Ra bepaald volgens NEN 6075.,The resistance to smoking passage from a sub-fire compartment to another sub-fire compartment has been determined according to NEN 6075.,True,1,2,V3V4,5
2222,SUBLVLI,2.	,Lid,2.0,(subbrandcompartiment: weerstand tegen rookdoorgang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.9_Artikel4.61_Lid2,C4_S4_2_P4_2_9_A4_61_SUB2,"De weerstand tegen rookdoorgang van een subbrandcompartiment naar een besloten ruimte waardoor een beschermde vluchtroute voert, is Ra bepaald volgens NEN 6075.",The resistance to smoking passage from a sub-fire compartment to a private space that leads to a protected escape route is determined according to NEN 6075.,True,1,2,V3V4,5
2223,SUBLVLI,3.	,Lid,3.0,(subbrandcompartiment: weerstand tegen rookdoorgang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.9_Artikel4.61_Lid3,C4_S4_2_P4_2_9_A4_61_SUB3,"De weerstand tegen rookdoorgang van een subbrandcompartiment naar een beschermd subbrandcompartiment, gelegen in een ander subbrandcompartiment, is R200 bepaald volgens NEN 6075.","The resistance to smoking passage from a sub-fire compartment to a protected sub-fire compartment, located in another sub-fire compartment, is R200 determined according to NEN 6075.",True,1,2,V3V4,5
2227,SUBLVLI,2.	,Lid,2.0,(beschermd subbrandcompartiment: weerstand tegen rookdoorgang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.9_Artikel4.62_Lid2,C4_S4_2_P4_2_9_A4_62_SUB2,De weerstand tegen rookdoorgang van een beschermd subbrandcompartiment naar een subbrandcompartiment is R200 bepaald volgens NEN 6075.,The resistance to smoke passage from a protected sub-fire compartment to a sub-fire compartment is R200 determined according to NEN 6075.,True,1,2,V3V4,5
2228,SUBLVLI,3.	,Lid,3.0,(beschermd subbrandcompartiment: weerstand tegen rookdoorgang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.9_Artikel4.62_Lid3,C4_S4_2_P4_2_9_A4_62_SUB3,De weerstand tegen rookdoorgang van een beschermd subbrandcompartiment naar een subbrandcompartiment is Ra bepaald volgens NEN 6075.,The resistance to smoking passage from a protected sub-fire compartment to a sub-fire compartment is RA determined according to NEN 6075.,True,1,2,V3V4,5
2229,SUBLVLI,4.	,Lid,4.0,(beschermd subbrandcompartiment: weerstand tegen rookdoorgang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.9_Artikel4.62_Lid4,C4_S4_2_P4_2_9_A4_62_SUB4,"De weerstand tegen rookdoorgang van een beschermd subbrandcompartiment naar een besloten ruimte waardoor een beschermde of extra beschermde vluchtroute voert, is R200 bepaald volgens NEN 6075.","The resistance to smoking passage from a protected sub-fire compartment to a closed space, which leads a protected or extra protected escape route, R200 is determined according to NEN 6075.",True,1,2,V3V4,5
2494,SUBLVLI,2.	,Lid,2.0,(brandklasse buitenoppervlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.14_Artikel4.92_Lid2,C4_S4_2_P4_2_14_A4_92_SUB2,"In afwijking van het eerste lid voldoet een deur, een raam, een kozijn of een daaraan gelijk te stellen constructieonderdeel aan brandklasse D, bepaald volgens NEN-EN 13501-1.","Contrary to the first sub-article, a door, a window, a frame or a structural component to be equated with that is a fire class D, determined according to NEN-EN 13501-1.",True,4,2,V3,5
